asin,log_price,product_rating,log_reviews,log_sales,weighted_rating,log_price_per_piece,log_bsr,bullet_count,image_count,is_fba,has_aplus,discount_rate,log_days_on_market,brand_tier_encoded,is_set,set_pieces,is_damascus,is_high_carbon,is_german_steel,is_japanese_steel,is_ceramic,is_chef_knife,is_santoku,is_steak_knife,is_cleaver,is_paring,has_block,is_professional,is_gift,blade_size_inch,bert_sentiment_mean,positive_ratio,negative_ratio,aspect_sharpness_sentiment,aspect_quality_sentiment,aspect_durability_sentiment,aspect_handle_sentiment,aspect_value_sentiment,aspect_rust_sentiment,aspect_appearance_sentiment,aspect_balance_sentiment,aspect_sentiment_mean,verified_purchase_rate,avg_helpful_votes,cluster,cluster_name,tsne_x,tsne_y,pca_x,pca_y
B0DX6Q61D5,4.174233411906258,4.5,5.82600010738045,3.9318256327243257,4.468594636697452,4.174233411906258,10.561758568708644,5,10,1,1,0.2500468847678228,0.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.4058823529411764,0.3333333333333333,0.3877414584856731,0.9,0.1,0,主流-高单价-单品,-11.642615,-15.899311,0.6669717625629721,-1.301852689233268
B0F6L7GRHZ,3.988798844230196,4.5,3.828641396489095,0.0,4.3628271487934684,3.988798844230196,11.32779998084354,5,10,1,1,0.4111567951994666,0.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,10.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.4058823529411764,0.3333333333333333,0.3877414584856731,0.9,0.1,0,主流-高单价-单品,-10.999416,-15.236864,1.1164404969246742,-2.0217314714043306
B09N6WQ84Q,4.110709916308365,3.8,1.0986122886681098,0.0,4.196953680568902,4.110709916308365,0.0,5,9,1,1,0.4545371885797418,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.4058823529411764,0.3333333333333333,0.3877414584856731,0.9,0.1,2,高单价-单品-待改进,15.098056,-43.74246,1.2375673542479346,-3.497452443134224
B0DDQ21S4V,2.39698576841553,4.8,3.610917912644224,0.0,4.48546105057733,1.4655675420143983,10.95280454947936,5,9,1,1,0.2500468847678228,6.278521424165844,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.4058823529411764,0.3333333333333333,0.3877414584856731,0.9,0.1,0,主流-高单价-单品,-1.2800726,6.8394685,0.11846940358796568,-0.33186296214350075
B07SMN6GXB,3.432372999130605,4.6,6.257667587882639,0.0,4.571342738801122,1.2515717831252149,11.682896061705152,5,10,1,1,0.2500468847678228,0.0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.4058823529411764,0.3333333333333333,0.3877414584856731,0.9,0.1,1,主流-低单价-套装,-14.650526,3.380854,-0.5777445033528892,1.192567857899678
B0DS2HTK9N,4.3943256902608985,4.4,4.219507705176107,0.0,4.329045522431484,3.320107829942246,11.788699416347637,5,9,1,1,0.5266583821527901,0.0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,1,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.4058823529411764,0.3333333333333333,0.3877414584856731,0.9,0.1,0,主流-高单价-单品,4.31613,-3.1195486,0.6633155442724449,-0.8641326279249196
B0B295J4L2,5.20120055576831,4.5,5.834810737062605,0.0,4.468840631710266,2.5674590261198182,12.130216993226638,0,10,0,1,0.0500026317174588,0.0,0,1,15,1,0,0,0,0,1,0,0,0,0,1,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.4058823529411764,0.3333333333333333,0.3877414584856731,0.9,0.1,1,主流-低单价-套装,-25.77818,13.192833,-0.31468593474095125,1.1813926466231528
B0FSTF4FSN,4.077367938014984,0.0,0.0,0.0,4.215856236786469,4.077367938014984,0.0,5,9,1,1,0.5166694449074846,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.4058823529411764,0.3333333333333333,0.3877414584856731,0.9,0.1,2,高单价-单品-待改进,21.834877,-41.938576,1.1373333388929925,-3.667362897630374
B0F1XSJ9YS,5.30325515557766,4.7,6.329720905522696,3.9318256327243257,4.666222528147893,2.6625413143158463,9.805654192187363,7,10,1,1,0.2307781068502634,0.0,0,1,15,0,1,0,0,0,1,0,0,0,0,1,0,0,7.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.4058823529411764,0.3333333333333333,0.3877414584856731,0.9,0.1,1,主流-低单价-套装,-6.719055,23.31341,-0.9546323725622079,2.434442852456177
B0FSZV7WYB,3.358289880650879,0.0,0.0,0.0,4.215856236786469,3.358289880650879,0.0,5,9,1,1,0.0089317613433369,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10.0,0.6,0.8,0.2,0.582258064516129,0.597165991902834,0.0,0.396011396011396,0.4545454545454546,0.0,0.4058823529411764,0.3333333333333333,0.3877414584856731,0.9,0.1,2,高单价-单品-待改进,23.686821,-40.741592,1.229182333900826,-3.7357386836964963
