product_id,knife_type_id,source,confidence
B0DX6Q61D5,nakiri,title,1.0
B0DX6Q61D5,cleaver,title,1.0
B0DX6Q61D5,chef,title,1.0
B0F6L7GRHZ,chef,title,1.0
B0F6L7GRHZ,carving,bullet_points_text,0.8
B09N6WQ84Q,cleaver,title,1.0
B09N6WQ84Q,chef,title,1.0
B09N6WQ84Q,bread,bullet_points_text,0.8
B09N6WQ84Q,carving,bullet_points_text,0.8
B0DDQ21S4V,set,title,1.0
B07SMN6GXB,set,title,1.0
B07SMN6GXB,santoku,bullet_points_text,0.8
B07SMN6GXB,bread,bullet_points_text,0.8
B07SMN6GXB,paring,bullet_points_text,0.8
B07SMN6GXB,chef,bullet_points_text,0.8
B07SMN6GXB,utility,description_clean,0.6
B0DS2HTK9N,chef,title,1.0
B0DS2HTK9N,set,title,1.0
B0DS2HTK9N,santoku,bullet_points_text,0.8
B0DS2HTK9N,paring,bullet_points_text,0.8
B0B295J4L2,carving,title,1.0
B0B295J4L2,chef,title,1.0
B0B295J4L2,set,title,1.0
B0B295J4L2,block,title,1.0
B0FSTF4FSN,bread,title,1.0
B0FSTF4FSN,chef,bullet_points_text,0.8
B0F1XSJ9YS,chef,title,1.0
B0F1XSJ9YS,set,title,1.0
B0F1XSJ9YS,block,title,1.0
B0F1XSJ9YS,santoku,bullet_points_text,0.8
B0F1XSJ9YS,bread,bullet_points_text,0.8
B0F1XSJ9YS,paring,bullet_points_text,0.8
B0F1XSJ9YS,utility,bullet_points_text,0.8
B0F1XSJ9YS,boning,bullet_points_text,0.8
B0F1XSJ9YS,steak,bullet_points_text,0.8
B0FSZV7WYB,santoku,title,1.0
B0FSZV7WYB,bread,title,1.0
B0DFH6VZ5B,nakiri,title,1.0
B0DFH6VZ5B,boning,title,1.0
B0DSHYXVPN,chef,title,1.0
B0DSHYXVPN,bread,bullet_points_text,0.8
B0DJGDXWBW,set,title,1.0
B0DJGDXWBW,block,title,1.0
B0DJGDXWBW,santoku,bullet_points_text,0.8
B0DJGDXWBW,paring,bullet_points_text,0.8
B0DJGDXWBW,utility,bullet_points_text,0.8
B0DJGDXWBW,carving,bullet_points_text,0.8
B0DJGDXWBW,chef,bullet_points_text,0.8
B0DG9Y57NY,utility,title,1.0
B0DG9Y57NY,set,title,1.0
B0DG9Y57NY,paring,bullet_points_text,0.8
B09DKSJ7JF,chef,title,1.0
B09DKSJ7JF,set,title,1.0
B09DKSJ7JF,bread,bullet_points_text,0.8
B09DKSJ7JF,paring,bullet_points_text,0.8
B09DKSJ7JF,utility,bullet_points_text,0.8
B09DKSJ7JF,carving,bullet_points_text,0.8
B09DKSJ7JF,steak,bullet_points_text,0.8
B0CW3FZR24,paring,title,1.0
B0CW3FZR24,bread,bullet_points_text,0.8
B0CW3FZR24,chef,bullet_points_text,0.8
B0CW3FZR24,set,bullet_points_text,0.8
B07P46SQPW,boning,title,1.0
B07P46SQPW,fillet,title,1.0
B07P46SQPW,chef,bullet_points_text,0.8
B0DM83MFMC,cleaver,title,1.0
B0DM83MFMC,fillet,title,1.0
B0DM83MFMC,boning,bullet_points_text,0.8
B09SB8F3FD,nakiri,title,1.0
B09SB8F3FD,utility,title,1.0
B084G8Y5M4,chef,title,1.0
B0DSJ36HHZ,santoku,title,1.0
B0DSJ36HHZ,chef,title,1.0
B0DSJ36HHZ,bread,bullet_points_text,0.8
B0DM7XB86G,boning,title,1.0
B0DM7XB86G,carving,bullet_points_text,0.8
B0DM84Y4XT,utility,title,1.0
B0DM84Y4XT,chef,title,1.0
B0FCXWCXY4,chef,title,1.0
B0FCXWCXY4,set,title,1.0
B0FCXWCXY4,nakiri,bullet_points_text,0.8
B0FCXWCXY4,paring,bullet_points_text,0.8
B0FCXWCXY4,utility,bullet_points_text,0.8
B09797QVT9,paring,title,1.0
B09797QVT9,utility,title,1.0
B09797QVT9,chef,title,1.0
B09797QVT9,bread,bullet_points_text,0.8
B07W85ND8W,paring,title,1.0
B07W85ND8W,utility,title,1.0
B0C2Z6L1XB,paring,title,1.0
B0C2Z6L1XB,chef,bullet_points_text,0.8
B0CG8WC1BV,set,title,1.0
B0CG8WC1BV,block,title,1.0
B0CG8WC1BV,santoku,bullet_points_text,0.8
B0CG8WC1BV,bread,bullet_points_text,0.8
B0CG8WC1BV,paring,bullet_points_text,0.8
B0CG8WC1BV,utility,bullet_points_text,0.8
B0CG8WC1BV,steak,bullet_points_text,0.8
B0CG8WC1BV,chef,bullet_points_text,0.8
B07P46QB4K,carving,title,1.0
B0C77KYXKK,utility,title,1.0
B0C77KYXKK,chef,title,1.0
B0979798RL,santoku,title,1.0
B0979798RL,utility,title,1.0
B0979798RL,chef,title,1.0
B0979798RL,bread,bullet_points_text,0.8
B0CTK42ZNP,paring,title,1.0
B0CTK42ZNP,utility,title,1.0
B0CTK42ZNP,chef,title,1.0
B0CTK42ZNP,set,bullet_points_text,0.8
B07TWRGXMG,chef,title,1.0
B07TWRGXMG,set,title,1.0
B0DM9K3ZQQ,chef,title,1.0
B0DM9K3ZQQ,set,title,1.0
B0DM9K3ZQQ,nakiri,bullet_points_text,0.8
B0DM9K3ZQQ,paring,bullet_points_text,0.8
B09N7CPC5B,cleaver,title,1.0
B09N7CPC5B,utility,title,1.0
B09N7CPC5B,carving,bullet_points_text,0.8
B0CFSTGQ34,set,title,1.0
B0CFSTGQ34,paring,bullet_points_text,0.8
B0CFSTGQ34,utility,bullet_points_text,0.8
B0CFSTGQ34,chef,bullet_points_text,0.8
B0F53T1C9V,nakiri,title,1.0
B0F53T1C9V,cleaver,title,1.0
B0F53T1C9V,chef,title,1.0
B099S2DB85,cleaver,title,1.0
B099S2DB85,carving,bullet_points_text,0.8
B099S2DB85,chef,bullet_points_text,0.8
B0C37GLKHZ,santoku,title,1.0
B0C37GLKHZ,utility,title,1.0
B0C37GLKHZ,chef,bullet_points_text,0.8
B0FWQV72CL,chef,title,1.0
B0FWQV72CL,bread,bullet_points_text,0.8
B0DLZDWWCM,chef,title,1.0
B0DLZDWWCM,set,title,1.0
B0DLZDWWCM,block,title,1.0
B0DLZDWWCM,santoku,bullet_points_text,0.8
B0DLZDWWCM,bread,bullet_points_text,0.8
B0DLZDWWCM,paring,bullet_points_text,0.8
B0DLZDWWCM,utility,bullet_points_text,0.8
B0DLZDWWCM,steak,bullet_points_text,0.8
B00GIBKCGC,paring,title,1.0
B00GIBKCGC,utility,title,1.0
B00GIBKCGC,chef,title,1.0
B00GIBKCGC,set,title,1.0
B0DGB59ZT9,paring,title,1.0
B0DGB59ZT9,utility,title,1.0
B0DGB59ZT9,chef,title,1.0
B0DGB59ZT9,set,title,1.0
B0FL9DZ9HV,set,title,1.0
B0FL9DZ9HV,block,title,1.0
B0FL9DZ9HV,santoku,description_clean,0.6
B0FL9DZ9HV,paring,description_clean,0.6
B0FL9DZ9HV,utility,description_clean,0.6
B0FL9DZ9HV,steak,description_clean,0.6
B0FL9DZ9HV,chef,description_clean,0.6
B09BQV3XNF,bread,title,1.0
B09BQV3XNF,steak,title,1.0
B09BQV3XNF,chef,title,1.0
B09BQV3XNF,set,title,1.0
B09BQV3XNF,block,title,1.0
B09BQV3XNF,paring,bullet_points_text,0.8
B09BQV3XNF,utility,bullet_points_text,0.8
B09BQV3XNF,carving,bullet_points_text,0.8
B0CG2BFKDM,santoku,title,1.0
B0CG2BFKDM,set,title,1.0
B09NN1FHJG,chef,title,1.0
B09NN1FHJG,set,title,1.0
B09NN1FHJG,block,title,1.0
B09NN1FHJG,santoku,bullet_points_text,0.8
B09NN1FHJG,bread,bullet_points_text,0.8
B09NN1FHJG,paring,bullet_points_text,0.8
B09NN1FHJG,utility,bullet_points_text,0.8
B0C6X91FCZ,chef,title,1.0
B0C6X91FCZ,set,title,1.0
B0C6X91FCZ,santoku,bullet_points_text,0.8
B0C6X91FCZ,bread,bullet_points_text,0.8
B0C6X91FCZ,paring,bullet_points_text,0.8
B0C6X91FCZ,utility,bullet_points_text,0.8
B0CMZ7N6Z8,set,title,1.0
B0CMZ7N6Z8,block,title,1.0
B0CMZ7N6Z8,santoku,bullet_points_text,0.8
B0CMZ7N6Z8,bread,bullet_points_text,0.8
B0CMZ7N6Z8,paring,bullet_points_text,0.8
B0CMZ7N6Z8,utility,bullet_points_text,0.8
B0CMZ7N6Z8,steak,bullet_points_text,0.8
B0CMZ7N6Z8,chef,bullet_points_text,0.8
B09N7FCX8W,cleaver,title,1.0
B09N7FCX8W,boning,title,1.0
B09N7FCX8W,fillet,bullet_points_text,0.8
B09N7FCX8W,carving,bullet_points_text,0.8
B0C8HXRQN7,chef,title,1.0
B09793FKG8,bread,title,1.0
B09793FKG8,chef,title,1.0
B0CFXWNSP8,chef,title,1.0
B0CFXWNSP8,set,title,1.0
B0CFXWNSP8,santoku,bullet_points_text,0.8
B0CFXWNSP8,utility,bullet_points_text,0.8
B0CWH4MF7W,nakiri,title,1.0
B0CWH4MF7W,chef,title,1.0
B09N7F6C3V,nakiri,title,1.0
B09N7F6C3V,cleaver,title,1.0
B09N7F6C3V,carving,bullet_points_text,0.8
